city,state,Total_HH,THH_MOE,Total_Unmarried,TU_MOE,Male_Male_HH,MMHH_MOE,Female_Female_HH,FFHH_MOE,All_Other_HH,AOH_MOE
Kailua (Honolulu County) Kaneohe,HI,33498,1402,1813,648,0,181,10,16,31685,1475
Kalamazoo,MI,85581,2191,7386,1338,253,273,417,258,78195,2079
Kankakee,IL,28618,1130,3039,920,0,182,59,95,25579,1346
Kansas City ,MO,616138,6123,38008,2966,1577,414,1308,557,578130,6527
Kennewick Pasco,WA,79123,1873,5108,970,0,193,0,193,74015,2137
Kenosha,IL,45383,1629,3251,657,0,187,93,111,42132,1649
Killeen,TX,76825,3031,3439,948,0,211,21,36,73386,3016
Kingsport,VA,44495,1585,2549,733,44,78,103,104,41946,1586
Kissimmee,FL,105921,5110,6033,1545,238,205,0,214,99888,5025
Knoxville,TN,230068,3807,13063,1585,180,165,1003,493,217005,3845
La Crosse ,MN,40918,1363,3965,822,74,119,0,187,36953,1552
Lady Lake The Villages,FL,58043,3020,3936,1694,0,214,241,336,54107,2930
Lafayette,IN,55469,2009,3935,1134,69,83,0,187,51534,2041
Lafayette,LA,98983,2555,6915,1709,426,276,217,207,92068,3004
Lafayette Louisville Erie,CO,32437,1359,1270,540,0,192,170,146,31167,1484
Lake Charles,LA,56645,2317,3175,883,130,211,128,156,53470,2300
Lake Jackson ,TX,29780,1838,2307,916,0,211,0,211,27473,1795
Lakeland,FL,95546,3672,5288,1189,87,101,186,155,90258,3688
Lancaster,PA,155932,2562,10484,1376,326,243,466,283,145448,2780
Lancaster Palmdale,CA,101013,2826,7423,1275,41,68,71,87,93590,3039
Lansing,MI,126462,2224,9556,1270,354,237,408,268,116906,2537
Laredo,TX,67340,1095,3751,926,0,211,361,301,63589,1424
