city,state,hisp_count,hisp_MOE
Lompoc,CA,23398,1190
Longmont,CO,19668,784
Long Neck,DE,477,228
Long Prairie,MN,922,91
Longview,TX,12721,702
Longview WA,OR,4864,594
Lorain Elyria,OH,21267,449
Lordsburg,NM,1711,357
Los Alamos,NM,1519,206
Los Angeles,CA,5521782,6995
Los Banos,CA,22725,1010
Los Lunas,NM,22804,1089
Louisville,KY,34639,512
Lovington,NM,6853,538
Lubbock,TX,67206,1279
Lufkin,TX,9685,811
Luling,LA,1580,310
Luling,TX,2926,343
Lumberton,NC,2491,678
Lynchburg,VA,3053,257
McAlester,OK,1228,231
McAllen,TX,576125,3262
McFarland,CA,10902,480
McGregor,TX,1478,399
McKinney,TX,14490,1212
McMinnville,OR,6971,666
McMinnville,TN,1734,417
Macon,GA,3504,274
Madera,CA,51837,1245
Madill,OK,1449,303
Madison,WI,22420,677
Madisonville,TX,1282,268
Madras,OR,2557,443
Malakoff,TX,493,216
Malone,NY,958,147
Mammoth Lakes,CA,2377,437
Manchester,NH,8710,885
Mandeville Covington,LA,3458,497
Manhattan,KS,2143,366
Manitowoc,WI,1607,261
Mankato,MN,1558,245
Mansfield,OH,898,199
Manteca,CA,22182,1464
Marathon,FL,2193,475
Marble Falls,TX,2397,597
Marco Island,FL,1442,716
Marengo,IL,1161,515
Maricao,PR,2444,474
Marion,IN,1602,288
Marion,NC,1371,235
Marion,OH,1070,202
Marion Oaks,FL,2974,536
Marlin,TX,1340,257
Marshall,MN,1181,145
Marshall,MO,1656,65
Marshall,TX,3639,554
Marshalltown,IA,5849,208
Martinsville,VA,1531,481
Marysville,WA,10550,1138
Mason City,IA,1454,105
Mathis,TX,4771,293
Mattawa,WA,3637,339
Mauldin Simpsonville,SC,6111,976
Mayag�ez,PR,109372,1057
Mayfield,KY,1502,233
Meadow Lake,NM,2832,667
Mecca,CA,6812,929
Medford,OR,15490,887
Medina,OH,881,259
Melrose,MN,1175,284
Memphis,TN,50981,700
Mendota,CA,8518,722
Mendota,IL,1836,374
Merced,CA,62289,1779
Merkel,TX,604,229
Mesquite NV,AZ,4008,639
Mexia,TX,1791,511
Miami,FL,2141432,2815
Miami,OK,1170,109
Michigan City,IN,4169,287
Middletown,NY,16372,1081
Middletown,OH,1480,424
Midland,MI,1237,214
Midland,TX,41863,972
Midlothian,TX,1397,406
Milford,DE,1839,699
Milton-Freewater,OR,2735,438
Milton Lewisburg,PA,1463,308
Milwaukee,WI,131966,440
Mineral Wells,TX,3805,228
Minneapolis,MN,147432,1039
Minot,ND,1208,196
Mission Viejo,CA,87975,2909
Missoula,MT,1996,292
Mobile,AL,6469,751
Modesto,CA,138135,2018
Monahans,TX,3271,220
Monessen,PA,957,263
Monett,MO,1602,428
Monmouth,IL,1215,37
Monmouth Independence,OR,4333,491
Mono Vista,CA,1089,300
Monroe,LA,1837,256
Monroe,MI,2191,318
Monte Vista,CO,2391,341
Montgomery,AL,6162,367
Montgomery,PA,1404,148
Montgomery Maybrook,NY,1219,224
Monticello,NY,2432,454
Montrose,CO,5303,455
Moore Haven,FL,1525,408
Mooresville,NC,1481,550
Morgan City,LA,2066,263
Morgantown,WV,1117,158
Morris,IL,1344,261
Morristown,TN,6442,369
Morro Bay,CA,3316,680
Moscow,ID,995,93
Moses Lake,WA,8866,790
Moultrie,GA,2315,679
Mountain Home,ID,1591,358
Mount Airy,NC,1110,365
Mount Pleasant,MI,973,159
Mount Pleasant,TX,7438,460
Mount Pocono,PA,2048,671
Mount Vernon,WA,15222,551
Muleshoe,TX,2171,454
Muncie,IN,1742,173
Murfreesboro,TN,12864,765
Muscatine,IA,3566,341
Muskegon,MI,6134,664
Muskogee,OK,2643,329
Myrtle Beach,SC,9006,764
Nacogdoches,TX,6134,627
Nampa,ID,30109,1115
Napa,CA,29842,867
Nashua NH,MA,10836,947
Nashville,TN,65440,931
Natchitoches,LA,313,82
Navasota,TX,3141,397
Needles CA,AZ,1169,410
Needville,TX,928,313
Neosho,MO,1334,302
Newark,NY,928,319
Newark,OH,1069,285
New Bedford,MA,15065,1064
Newberg,OR,2709,584
New Bern,NC,1238,487
New Braunfels,TX,17445,1121
New Castle,CO,1603,395
New Haven,CT,74454,1854
New Iberia,LA,1031,316
Newman,CA,5505,846
Newnan,GA,2553,476
New Orleans,LA,66398,422
New Paltz,NY,713,164
Newport,OR,801,335
Newton,KS,2772,235
New York,NY,4096903,2617
Nogales,AZ,25948,1162
Norfolk,NE,2475,302
Norman,OK,4863,772
North Adams MA,VT,835,253
Northfield,MN,1048,313
North Huntsville,TX,780,224
North Platte,NE,1975,165
North Port Punta Gorda,FL,9762,518
North Wilkesboro,NC,1858,426
Norwalk,OH,1182,316
Norwich New London,CT,18923,468
Nyssa,OR,1658,290
Oakdale,CA,4746,606
Oakdale,LA,618,98
Oak Harbor,WA,2752,239
Oak Ridge,TN,1109,253
Ocala,FL,13558,1156
Odem,TX,2018,302
Odessa,TX,59480,959
Ogden Layton,UT,57311,423
Ogdensburg,NY,472,124
Okeechobee,FL,6034,649
Oklahoma City,OK,107067,1104
Olympia Lacey,WA,11378,707
Omaha,NE,66349,379
One Hundred Palms,CA,2330,351
Oneonta,AL,1473,457
Ontario,OR,7554,523
Orange,TX,1776,452
Orange Cove,CA,8151,293
Orland,CA,3688,584
Orlando,FL,282058,2842
Orosi,CA,13027,913
Oroville,CA,4323,658
Oshkosh,WI,1812,297
Oswego,NY,1576,351
Othello,WA,7081,521
Ottawa,IL,1304,331
Ottumwa,IA,2858,34
Owasso,OK,1653,518
Owatonna,MN,1893,110
Owensboro,KY,2014,133
Owosso,MI,859,150
Oxford,PA,2224,560
Oxnard,CA,195469,2040
Ozona,TX,1734,357
Paducah KY,IL,1003,186
Pagosa Springs,CO,871,373
Pahokee,FL,1822,434
Pahrump,NV,3344,574
